Glossaire — Ce que signifient tous les termes techniques de ce tableau,,
Terme / Critère,Définition claire,Pourquoi c'est important pour un SMA
SMA — Système Multi-Agents,"Un SMA est un système informatique composé de plusieurs entités autonomes (les 'agents') capables de percevoir leur environnement, de prendre des décisions et d'agir. Chaque agent a ses propres objectifs et capacités. Ils peuvent collaborer, se diviser le travail, négocier ou même être en compétition.","C'est le paradigme central de ce tableau. Évaluer un framework 'agentique', c'est évaluer sa capacité à implémenter correctement ces principes : autonomie des agents, communication entre eux, coordination de leurs actions, mémoire partagée."
Architecture en graphe orienté,"Un graphe orienté est une structure mathématique composée de 'nœuds' (des boîtes représentant chaque étape ou agent) reliés par des 'arêtes' (des flèches indiquant le sens du flux). Par exemple : nœud A → nœud B signifie que A envoie son résultat à B. On peut avoir des branches conditionnelles (si X, aller à B, sinon aller à C), des boucles, des retours en arrière.","C'est la structure la plus expressive pour modéliser un SMA. Elle permet de voir exactement qui communique avec qui, dans quel ordre, sous quelles conditions. C'est traçable, débogable, et proche de la théorie formelle des SMA. LangGraph repose sur cette architecture — ce qui explique sa supériorité structurelle."
État persistant (graph state),"L'état persistant est un objet de données (souvent un dictionnaire Python typé) qui 'voyage' à travers tous les nœuds du graphe. Chaque agent peut le lire et le modifier. Cet état peut être sauvegardé en base de données entre deux exécutions, ce qui signifie que si le système est interrompu (crash, pause), il peut reprendre exactement là où il s'est arrêté.","Sans état persistant, un SMA 'oublie' tout à chaque exécution. Avec un état persistant, le système a une mémoire cohérente : il sait ce qui a été fait, par qui, et peut décider la suite en connaissance de cause. C'est indispensable pour des agents qui travaillent sur des tâches longues ou complexes en production."
Paradigme de coordination,La coordination définit comment les agents décident qui fait quoi et dans quel ordre. Il en existe plusieurs formes : (1) Centralisée : un chef décide pour tous. (2) Hiérarchique : des niveaux de délégation (chef → sous-chefs → exécutants). (3) Pair-à-pair : les agents se coordonnent entre eux sans chef. (4) Automatique (LLM-first) : c'est le modèle de langage lui-même qui décide en temps réel.,"Une mauvaise coordination = des agents qui font la même chose, qui se contredisent, ou qui attendent indéfiniment. Une bonne coordination garantit que le travail avance de manière fluide, sans conflits ni blocages. Le choix du paradigme impacte directement la prévisibilité et la fiabilité du système."
Human-in-the-loop,"Mécanisme permettant à un humain d'intervenir dans le processus en cours d'exécution. Par exemple, un agent peut s'arrêter et demander validation avant de continuer, ou un opérateur peut corriger une réponse avant qu'elle soit transmise à l'agent suivant.",Crucial pour les applications en production où les erreurs ont des conséquences réelles. Un SMA sans supervision humaine possible est risqué pour des tâches critiques. AutoGen et LangGraph supportent nativement ce mécanisme.
RAG — Retrieval-Augmented Generation,"RAG est une technique qui permet à un LLM d'accéder à des documents externes avant de répondre. Au lieu de répondre depuis sa mémoire d'entraînement, le LLM cherche d'abord les informations pertinentes dans une base de données (souvent une base vectorielle), puis génère sa réponse en se basant sur ces documents.","RAG est très utile quand on veut interroger des corpus de documents privés (contrats, rapports, manuels). Mais ce n'est pas du SMA au sens strict — un agent RAG est surtout un moteur de recherche intelligent. LlamaIndex excelle dans ce domaine mais n'est pas adapté à la coordination multi-agents."
Base vectorielle (VectorDB),"Une base vectorielle stocke des textes sous forme de vecteurs mathématiques (embeddings), ce qui permet de faire des recherches par similarité sémantique plutôt que par mots-clés. Exemples : Pinecone, Chroma, Weaviate, Qdrant.",C'est le moteur de la mémoire long-terme dans les systèmes RAG. Permet à un agent de 'se souvenir' de millions de documents en quelques millisecondes. LlamaIndex et LangGraph ont des intégrations natives avec ces bases.
SOP — Standard Operating Procedure,"Dans MetaGPT, une SOP est une procédure opérationnelle standard, c'est-à-dire un enchaînement d'étapes prédéfinies que les agents doivent suivre dans un ordre précis. Par exemple : 1. Le PM rédige les specs. 2. Le Dev code. 3. Le QA teste. 4. Le DevOps déploie.",Les SOPs garantissent une cohérence et une reproductibilité des workflows. C'est efficace quand le processus est connu et stable. Mais c'est une faiblesse dans des environnements dynamiques où le plan doit évoluer en cours d'exécution.
Handoff (passage de relais),"Un handoff est le mécanisme par lequel un agent 'passe la main' à un autre agent. L'agent courant décide (selon des règles définies) que la prochaine étape appartient à tel ou tel agent, et lui transmet le contexte nécessaire.","C'est le mécanisme de base de OpenAI Swarm. C'est simple et compréhensible, mais très limité : pas d'état partagé riche, pas de négociation, pas de retour en arrière. Cela fonctionne pour des routages simples mais pas pour des workflows complexes."
MCP — Model Context Protocol,Protocole développé par AWS (et récemment adopté plus largement) permettant de standardiser comment un agent communique son contexte à ses outils et sous-agents. C'est comme un format d'échange commun entre composants d'un système agentique.,"MCP est une bonne idée de standardisation, mais il est encore jeune et principalement adopté dans l'écosystème AWS Bedrock. Son adoption hors AWS est limitée en 2024-2025."
LiteLLM,"LiteLLM est une bibliothèque Python qui unifie l'interface d'appel à tous les grands LLMs (OpenAI, Anthropic, Google, Mistral, LLaMA, etc.) derrière une API commune. Changer de fournisseur LLM = changer une ligne de configuration.","Utilisé par CrewAI, LiteLLM rend le framework indépendant du fournisseur LLM. C'est un avantage stratégique important : on évite le 'vendor lock-in' (dépendance à un seul fournisseur)."
Courbe d'apprentissage,La courbe d'apprentissage mesure le temps et l'effort nécessaires pour maîtriser un outil. Une courbe élevée signifie qu'il faut beaucoup de temps avant d'être productif. Une courbe faible signifie qu'on peut démarrer rapidement.,Ce critère est important pour le choix d'un framework selon le contexte : projet urgent avec une petite équipe = préférer une courbe faible (CrewAI). Projet stratégique sur le long terme = accepter une courbe élevée pour plus de puissance (LangGraph).
Open-source (MIT vs Apache 2.0),"MIT : licence très permissive. On peut utiliser, modifier, vendre sans restriction, à condition de conserver la mention de la licence. Apache 2.0 : encore plus permissive sur la question des brevets — protection explicite contre les poursuites en brevets logiciels, ce qui est important en entreprise.","Une licence open-source permissive (MIT ou Apache 2.0) signifie qu'on peut construire un produit commercial dessus sans coûts de licence. C'est un critère majeur pour les entreprises. Tous les frameworks de ce tableau sont open-source, mais certains dépendent de services cloud payants (LangGraph Cloud, AWS Bedrock, Azure)."
Vendor lock-in (dépendance fournisseur),"Le vendor lock-in désigne la situation où un système devient fortement dépendant d'un seul fournisseur (OpenAI, AWS, Microsoft), rendant difficile et coûteux le fait de changer de fournisseur plus tard.","C'est un risque stratégique majeur. Si le fournisseur augmente ses prix, arrête un service, ou change ses conditions, toute l'infrastructure est à refaire. OpenAI Swarm (dépend d'OpenAI), Strands (dépend d'AWS Bedrock), et Semantic Kernel (dépend d'Azure) présentent ce risque. LangGraph, CrewAI et AutoGen sont les plus indépendants."